"aou","SPEC","nObs","r2","Estimate","std.error","z.value","p.value","term","sig"
4770,"BLJA",646,0.0848603481968141,-0.00318709478406882,0.00203815673559151,-1.56371427595035,0.117884683620396,"tmin","p > 0.05"
4770,"BLJA",646,0.0848603481968141,0.000873096244366601,0.00123330053804712,0.707934698341341,0.478985810781456,"deltaProp","p > 0.05"
4770,"BLJA",646,0.0848603481968141,1.54036337823065e-05,0.00223222697639668,0.00690056788363496,0.994494187120727,"tmax:deltaED","p > 0.05"
4770,"BLJA",646,0.0848603481968141,-0.00254136576870278,0.00201468203332542,-1.26142275885988,0.207156572844578,"deltaED:tmin","p > 0.05"
6390,"WEWA",75,0.149727780774418,-0.0128643151902329,0.00713407054582971,-1.80322231292664,0.0713533075963158,"tmax","p > 0.05"
6390,"WEWA",75,0.149727780774418,-0.0150436402886257,0.00552350137060543,-2.72356957647984,0.0064580611124796,"deltaED","p < 0.05"
6390,"WEWA",75,0.149727780774418,-0.00520381091005764,0.00684996511977218,-0.759684293141439,0.447443319650082,"tmin","p > 0.05"
6390,"WEWA",75,0.149727780774418,-0.000928875285972547,0.00396896751811434,-0.234034489255245,0.814958203507091,"deltaProp","p > 0.05"
6390,"WEWA",75,0.149727780774418,-0.000661582613003754,0.00788249536769844,-0.08393060600008,0.933111605336192,"tmax:deltaED","p > 0.05"
6390,"WEWA",75,0.149727780774418,0.00893617744986613,0.00676174366978162,1.32157885395776,0.18630842870733,"deltaED:tmin","p > 0.05"
5980,"INBU",562,0.126777634559054,-0.00158901986170927,0.00251844347398856,-0.630953157424922,0.528071153074372,"tmax","p > 0.05"
5980,"INBU",562,0.126777634559054,0.00496072483538759,0.00201358640412839,2.4636265050344,0.0137539349842661,"deltaED","p < 0.05"
5980,"INBU",562,0.126777634559054,0.000459982206499302,0.00250994722922083,0.183263696202129,0.854591118180009,"tmin","p > 0.05"
5980,"INBU",562,0.126777634559054,0.00513767691944359,0.0014737138852139,3.48621056705176,0.000489915211026704,"deltaProp","p < 0.05"
5980,"INBU",562,0.126777634559054,-0.00224501853676699,0.00276757101747315,-0.811187327296387,0.417258102072104,"tmax:deltaED","p > 0.05"
5980,"INBU",562,0.126777634559054,-0.00484172388424092,0.00239929954688544,-2.01797390847926,0.0435939787471498,"deltaED:tmin","p < 0.05"
4900,"FICR",127,0.0522179940879686,0.0106787165819349,0.0129970043574719,0.821629068378036,0.411288040156552,"tmax","p > 0.05"
4900,"FICR",127,0.0522179940879686,-0.00840544781097754,0.00653870566765353,-1.28549108007088,0.198620731795387,"deltaED","p > 0.05"
4900,"FICR",127,0.0522179940879686,-0.0028932271936661,0.00855034444982142,-0.338375513483148,0.735080224383007,"tmin","p > 0.05"
4900,"FICR",127,0.0522179940879686,0.000306618517217219,0.00479557906128622,0.0639377462656159,0.949019796578912,"deltaProp","p > 0.05"
4900,"FICR",127,0.0522179940879686,0.0179915840966104,0.0143128227200635,1.25702556710843,0.208744377705472,"tmax:deltaED","p > 0.05"
4900,"FICR",127,0.0522179940879686,-0.00600537029059865,0.00769127862001825,-0.780802593078392,0.434918608702653,"deltaED:tmin","p > 0.05"
6360,"BAWW",289,0.126292708258492,0.014733583411563,0.00398097837576416,3.7009955897424,0.000214755209277273,"tmax","p < 0.05"
6360,"BAWW",289,0.126292708258492,-0.00558394130536551,0.00363469126822043,-1.53629040083491,0.124467172730619,"deltaED","p > 0.05"
6360,"BAWW",289,0.126292708258492,-0.0118414496412609,0.0042977201303922,-2.75528635695045,0.00586407874734141,"tmin","p < 0.05"
6360,"BAWW",289,0.126292708258492,0.0030721134849355,0.00271363033863978,1.13210463532605,0.257590446337685,"deltaProp","p > 0.05"
6360,"BAWW",289,0.126292708258492,-0.00747266916351307,0.00497578668380168,-1.50180657620227,0.133147069470465,"tmax:deltaED","p > 0.05"
6360,"BAWW",289,0.126292708258492,0.0076362406942924,0.00427476871381498,1.78635177842815,0.0740423181400756,"deltaED:tmin","p > 0.05"
6710,"PIWA",290,0.116176531688834,-0.000959785992315714,0.00519467433823421,-0.184763457691934,0.853414570862531,"tmax","p > 0.05"
6710,"PIWA",290,0.116176531688834,0.00224858041779111,0.00336888400039939,0.667455578026591,0.504481175347559,"deltaED","p > 0.05"
6710,"PIWA",290,0.116176531688834,-0.00999358022728871,0.00466068931435205,-2.14422793566493,0.0320146277553954,"tmin","p < 0.05"
6710,"PIWA",290,0.116176531688834,0.00472900342803925,0.00267951052676664,1.76487585355588,0.0775846326841498,"deltaProp","p > 0.05"
6710,"PIWA",290,0.116176531688834,0.00576538645781848,0.00553043763268656,1.04248286315414,0.297187866517119,"tmax:deltaED","p > 0.05"
6710,"PIWA",290,0.116176531688834,-0.000108823958141949,0.00423303225808748,-0.0257082751812329,0.979490023399513,"deltaED:tmin","p > 0.05"
6840,"HOWA",221,0.0466745060392901,0.0131369187875492,0.00578905320892392,2.26926896565718,0.0232519745804987,"tmax","p < 0.05"
6840,"HOWA",221,0.0466745060392901,0.00180661709049442,0.0036141714325737,0.499870336589956,0.617166380393002,"deltaED","p > 0.05"
6840,"HOWA",221,0.0466745060392901,-0.00590821668981212,0.0048554331797707,-1.21682586724242,0.223670475970865,"tmin","p > 0.05"
6840,"HOWA",221,0.0466745060392901,0.00173246753013066,0.00291285459159683,0.594766225244674,0.551999746997142,"deltaProp","p > 0.05"
6840,"HOWA",221,0.0466745060392901,-0.00463923666960142,0.00501806552798208,-0.924506992531642,0.355222412522541,"tmax:deltaED","p > 0.05"
6840,"HOWA",221,0.0466745060392901,-0.00131566436028523,0.0043591204392065,-0.301818767945013,0.762790222930803,"deltaED:tmin","p > 0.05"
5950,"RBGR",283,0.0185918940138841,0.000740119410183374,0.00420361770979547,0.17606724999248,0.860241109677055,"tmax","p > 0.05"
5950,"RBGR",283,0.0185918940138841,-0.00477222407701656,0.00436772698863834,-1.0926104331682,0.27456487994985,"deltaED","p > 0.05"
5950,"RBGR",283,0.0185918940138841,-0.00468840498231236,0.00407772215112718,-1.14976077539181,0.250242414874212,"tmin","p > 0.05"
5950,"RBGR",283,0.0185918940138841,-0.00281143891154096,0.00368579588315166,-0.762776616142114,0.445596629061925,"deltaProp","p > 0.05"
5950,"RBGR",283,0.0185918940138841,-0.00605726888191846,0.00548644296275988,-1.10404298796746,0.26957449046794,"tmax:deltaED","p > 0.05"
5950,"RBGR",283,0.0185918940138841,0.00587893197609551,0.00541181488615567,1.08631431410095,0.277339956262373,"deltaED:tmin","p > 0.05"
6590,"CSWA",248,0.0682206356965397,0.0127141463953237,0.00575140411197789,2.21061607701069,0.0270624344882651,"tmax","p < 0.05"
