"aou","param","Estimate","Std..Error","Adjusted.SE","z.value","Pr...z.."
7270,"tmax",-0.149568396443977,0.283820463400881,0.284071295621931,0.526517105913569,0.598529
7270,"ppt",0.000122851818102977,0.000750555996567481,0.000751611655330749,0.16345118816567,0.8701632
3131,"(Intercept)",-0.0840211286728926,0.080312400945261,0.0803896029445025,1.04517407221052,0.2959425
3131,"tmin",-2.24420427560809,1.97071497506516,1.97230023896967,1.13786138198739,0.2551784
3131,"tmax",-0.506936290252554,1.29325556560392,1.29457944211661,0.391583763622667,0.6953658
3131,"dEDz",-0.00548578206176596,0.0209422084158473,0.0209685300058574,0.261619773071052,0.7936146
3131,"ppt",0.000682404910314323,0.00482475203708369,0.00483185681362314,0.14123036684165,0.887688
5460,"(Intercept)",-0.234835307925382,0.0730290711371713,0.0731381597953449,3.21084518099031,0.0013235
5460,"ppt",0.0206890062094303,0.0133559459744177,0.0133745944661397,1.54688848785721,0.1218901
5460,"tmin",1.54872545545991,1.86549619560445,1.86754072920363,0.829286039785771,0.4069426
5460,"dEDz",0.00187177640955357,0.0166170772396331,0.0166527744767787,0.112400273729981,0.910506
5460,"tmax",0.061779827675214,0.926844859759796,0.928901431128853,0.066508485835936,0.946973
6080,"(Intercept)",-0.0248987049544741,0.0149834530736372,0.0150157016177865,1.65817792523134,0.0972816
6080,"tmax",-0.0406273689481389,0.270473186516016,0.271035442563302,0.149896886414219,0.880846
6080,"tmin",-0.0344661392323973,0.257578280079701,0.258121296294826,0.133526910515086,0.8937767
6080,"dEDz",0.000292317494525863,0.00455633911451944,0.00456632366186262,0.0640159384599177,0.9489575
6080,"ppt",3.0416720093461e-05,0.000907139966260557,0.000909151495863591,0.0334561624018102,0.9733108
6770,"(Intercept)",-0.0738674198769311,0.0293969488124358,0.0295252887855556,2.50183564379119,0.0123551
6770,"dEDz",-0.025247163527453,0.0234850705903744,0.0235433423540673,1.0723695534713,0.2835541
6770,"ppt",-0.00306340958833071,0.0038189841485696,0.00382821162276175,0.80021949939139,0.4235836
6770,"tmax",0.369688759422435,0.803874657138935,0.806357150551762,0.458467763533156,0.6466164
6770,"tmin",0.124684603236057,0.55489654226061,0.557348755554823,0.223710202980425,0.8229828
3390,"(Intercept)",0.0257192320620715,0.00838358227428731,0.00841746009312796,3.05546231018889,0.0022471
3390,"ppt",0.000568977514641729,0.00101680812228397,0.00101898528341459,0.558376577073914,0.5765873
3390,"dEDz",0.00121303230314081,0.00410758611903779,0.00412042315711112,0.294395079555685,0.768456
3390,"tmax",-0.0216667164778172,0.175232038814687,0.175911253861838,0.123168450011927,0.9019737
3390,"tmin",-0.00868203088243128,0.149304186539375,0.149916634108885,0.0579123920039819,0.9538184
6280,"(Intercept)",0.0312294910942855,0.0105346935705305,0.0105574025592801,2.9580657665492,0.0030958
6280,"dEDz",0.00287136789567755,0.00562760854460646,0.00563587505134196,0.509480403578829,0.6104155
6280,"ppt",-0.000313737386633631,0.000879782099125606,0.000881398909211047,0.355953908445907,0.7218751
6280,"tmin",-0.0718890051048319,0.213901848541492,0.214307862561159,0.33544735244754,0.7372877
6280,"tmax",-0.0227796138955327,0.168223553810845,0.168633986958822,0.135083172178661,0.8925461
3250,"(Intercept)",0.123982415679511,0.0268315565806943,0.0268615151489755,4.61561512788456,3.9e-06
3250,"dEDz",-0.0499590517382665,0.0161471123798518,0.016170202403373,3.08957491638109,0.0020044
3250,"ppt",0.00842328894882837,0.00406830137975736,0.0040726559706222,2.06825447805784,0.0386161
3250,"tmax",0.305715584683375,0.664481490078223,0.665062949725133,0.459679169933802,0.6457465
3250,"tmin",0.167205756488161,0.476971052002317,0.477464076513992,0.350195469592068,0.726192
22860,"(Intercept)",0.491965907810236,0.124171670792373,0.125006121321494,3.93553453710467,8.3e-05
22860,"dEDz",0.258520004241602,0.0832734006087191,0.0838764110325018,3.08215386256127,0.0020551
22860,"tmax",17.8185874218367,5.04575058901689,5.08181744634381,3.50634150281343,0.0004543
22860,"ppt",-0.00910512138382535,0.0165122918555744,0.0165791149000744,0.549192248120826,0.5828735
22860,"tmin",-0.468135394463341,2.23290982853976,2.24719053128307,0.208320295029034,0.8349789
6630,"(Intercept)",0.0574046690048319,0.0266476638568174,0.0268540681227314,2.13765261719285,0.0325449
6630,"dEDz",0.0144305851159521,0.0198074509938676,0.0198837979218292,0.72574591497481,0.4679945
6630,"tmax",-0.033897188777829,0.480074474668326,0.483772071683461,0.070068511106628,0.9441391
6630,"tmin",0.020003366666572,0.476031318594288,0.479741729689636,0.0416961156985717,0.966741
6630,"ppt",-4.13732138710084e-05,0.00144442565144912,0.00145577983115185,0.0284199663889235,0.9773272
6220,"(Intercept)",-0.107528690087562,0.027874580857138,0.0279297477630667,3.8499699674966,0.0001181
6220,"tmax",1.17395991019227,0.833078248888072,0.834670205778985,1.4064955260942,0.159577
6220,"tmin",0.566066035058243,0.672302342724624,0.673392040846394,0.840618838242798,0.4005615
6220,"ppt",-0.00163227509601307,0.00307092488137364,0.00307687807959034,0.530497164265408,0.5957673
6220,"dEDz",-0.000320897506219316,0.0053458485355708,0.0053641271461742,0.0598228747147029,0.9522967
6840,"(Intercept)",0.0406134761667635,0.0252976604703321,0.0253775208757904,1.60037209172421,0.1095161
6840,"ppt",-0.00314706673704274,0.00305005943632469,0.00305575207681971,1.02988287594263,0.303065
6840,"tmax",1.05242005795731,0.988285038003489,0.990138693132144,1.062901657371,0.2878266
6840,"dEDz",-0.00101625924258355,0.00680675015634318,0.00683001652321789,0.148793086975543,0.8817169
6840,"tmin",-0.0285780095440481,0.391539133113236,0.392995336477986,0.0727184444481289,0.9420302
7290,"(Intercept)",0.0600804164993103,0.0307234595487424,0.0309759436497658,1.93958308998165,0.0524304
