"aou","SPEC","nObs","Estimate","std.error","z.value","p.value","term","r2"
3750,"GHOW",10,-0.00639126963067385,0.00243181352841051,-2.6281906716965,0.00858403857826184,"mean_tmax",0.0193823270618709
3750,"GHOW",10,-0.0223041206813229,0.0248839486613274,-0.896325618770711,0.37007888033859,"tmin",0.0193823270618709
3750,"GHOW",10,0.00759664663694692,0.0015696094699745,4.83983231642347,1.2994872651273e-06,"mean_tmin",0.0193823270618709
3750,"GHOW",10,0.00584826707468858,0.00252513776751479,2.31601901089316,0.0205572307171811,"tmax:mean_tmax",0.0193823270618709
3750,"GHOW",10,-3.23297450291749e-05,0.00200408157096742,-0.0161319506638487,0.987129123884543,"tmin:mean_tmin",0.0193823270618709
3390,"RSHA",167,0.0140376093194499,0.0736522625715722,0.190593049409836,0.848844436138921,"(Intercept)",0.00341618137711774
3390,"RSHA",167,-0.0196082031777636,0.0351765882089033,-0.557421972287826,0.577239156681491,"tmax",0.00341618137711774
3390,"RSHA",167,0.000209750448410607,0.0041064205043464,0.0510786579671026,0.959262842264288,"mean_tmax",0.00341618137711774
3390,"RSHA",167,0.0283075381127462,0.0329577097434523,0.858904891544233,0.390392990481403,"tmin",0.00341618137711774
3390,"RSHA",167,-0.00074634534384491,0.00345345207593177,-0.216115737944196,0.828897532477486,"mean_tmin",0.00341618137711774
3390,"RSHA",167,0.00102762834360939,0.00125055373286414,0.821738655927899,0.411225653573663,"tmax:mean_tmax",0.00341618137711774
3390,"RSHA",167,-0.00171551933962584,0.00184460411404635,-0.930020336918066,0.352360554925156,"tmin:mean_tmin",0.00341618137711774
5110,"COGR",615,-0.034067995674011,0.0368238392550027,-0.925161427033513,0.354881944572911,"(Intercept)",0.000220216486411462
5110,"COGR",615,0.00976998492913946,0.0161211071964778,0.606036844124085,0.544490287429237,"tmax",0.000220216486411462
5110,"COGR",615,0.00307322455624755,0.0025756798666409,1.19317023674046,0.232802708543814,"mean_tmax",0.000220216486411462
5110,"COGR",615,-0.0113982673465764,0.00968794824206345,-1.17654090027928,0.239378798479709,"tmin",0.000220216486411462
5110,"COGR",615,-0.00572265340631802,0.00238565726191079,-2.3987743326275,0.0164500491466593,"mean_tmin",0.000220216486411462
5110,"COGR",615,-0.000431628747945815,0.000659355134957949,-0.654622562351536,0.512710793836492,"tmax:mean_tmax",0.000220216486411462
5110,"COGR",615,0.000312812338855786,0.000711571453601681,0.439607768513561,0.660221213235401,"tmin:mean_tmin",0.000220216486411462
4090,"RBWO",442,0.107557708039153,0.0369915677569154,2.90762772602536,0.00364181589031776,"(Intercept)",0.000112756386592139
4090,"RBWO",442,-0.0214381132368162,0.0284017172121248,-0.754817501938376,0.450358490984375,"tmax",0.000112756386592139
4090,"RBWO",442,-0.000144169858987561,0.00260454698017685,-0.0553531420568854,0.955857125787283,"mean_tmax",0.000112756386592139
4090,"RBWO",442,0.0141280272642254,0.0138887116464488,1.01723094437184,0.30904357855798,"tmin",0.000112756386592139
4090,"RBWO",442,-0.00523192850385695,0.00246440189381281,-2.1230013322877,0.0337537402158083,"mean_tmin",0.000112756386592139
4090,"RBWO",442,0.000542898569581405,0.00103448291866511,0.524801869403467,0.599720931859171,"tmax:mean_tmax",0.000112756386592139
4090,"RBWO",442,-0.000480508198433718,0.000877637939281929,-0.547501625587043,0.584034153973458,"tmin:mean_tmin",0.000112756386592139
5070,"BAOR",343,-0.0764701148777597,0.0470628728895719,-1.62485012458098,0.104194497654628,"(Intercept)",0.000587671576100068
5070,"BAOR",343,0.0237604568059498,0.0264251017161705,0.899162359379301,0.368566186338244,"tmax",0.000587671576100068
5070,"BAOR",343,0.00364583208125227,0.00323631525264602,1.12653799047278,0.259937869503108,"mean_tmax",0.000587671576100068
5070,"BAOR",343,0.0409458597256766,0.0114470576851098,3.57697679631146,0.000347591014951742,"tmin",0.000587671576100068
5070,"BAOR",343,-0.00174364884376145,0.00287938230056519,-0.605563506943553,0.544804641418382,"mean_tmin",0.000587671576100068
5070,"BAOR",343,-0.000981584322173715,0.00109866614091927,-0.89343275961195,0.371625465745613,"tmax:mean_tmax",0.000587671576100068
