"aou","stateroute","dist_from_centroid","bearing"
6870,54022,647946.004333077,177.096396959091
6870,54026,608036.218689165,-167.958520484467
6870,54044,785034.230447825,-137.57377718563
6870,58001,2045824.47037009,96.7063676746482
6870,58003,2028165.41466378,97.2959735017609
6870,58005,2046131.25969689,95.7195011306771
6870,58007,2048190.95241471,95.4674480064869
6870,58008,2079438.11681563,95.0758808856335
6870,58009,2043520.01044958,95.094344514151
6870,58010,2071677.44841402,94.610085032647
6870,58011,2019544.76366327,95.1057065903592
6870,58012,2040500.28837311,93.0097725151587
6870,58013,2001832.51976901,96.8508854917561
6870,58015,1998774.3701208,95.1976201494625
6870,58017,2018641.42005959,92.001479000969
6870,58018,2002015.12537608,92.7980508554946
6870,58022,1995557.8799636,90.0483581592735
6870,58116,2031647.5641586,92.7490234549526
6870,59003,1998154.04781587,109.990238320937
6870,59010,1949880.60427874,107.088325657814
6870,59013,2032415.27568403,106.849058737548
6870,59019,1923774.75123406,105.182544355067
6870,59020,1928952.77770968,106.902952835377
6870,59021,1921666.09583204,104.481025883133
6870,59022,1960846.01769193,105.017697383277
6870,59023,1952756.20878967,106.229602064037
6870,59024,1978799.43801059,105.973841228352
6870,59025,2007783.11688784,106.275886362704
6870,59026,1985732.21569328,106.831182791316
6870,59029,2039407.00320203,109.327857941251
6870,59107,2002941.21201021,109.346634150158
6870,61001,2097743.64888341,103.38524014391
6870,61005,2055257.70411536,104.081419021516
6870,61008,1940588.56670005,101.616145906277
6870,61009,1947168.88436563,102.33607914984
6870,61013,1916114.69464275,103.699142368581
6870,61014,1907969.90009579,102.03381712781
6870,61017,1947786.94620573,98.6831827025672
6870,61018,1915606.86191839,100.568232676217
6870,61019,1940595.32260033,100.302615160606
6870,61022,1899764.93723408,100.494514314275
6870,61025,1870508.05364659,100.109851456862
6870,61026,1881940.49114733,99.6396568775163
6870,61028,1915159.8371632,101.236291868492
6870,61029,1819561.1622848,101.254031863353
6870,61030,1773960.03112897,102.918070092326
6870,61033,1801411.29578109,103.808411109778
6870,61039,1764873.2062607,103.657868795107
6870,61041,1741457.0450613,102.767762867556
6870,61043,1712690.18656926,103.143975334684
6870,61045,1632625.87767239,105.861420465671
6870,61047,1659594.67558964,102.590993462899
6870,61048,1655574.37518891,103.189570724236
6870,61049,1663659.83596472,103.525704925495
6870,61051,1624117.75592645,102.915461215982
6870,61053,1547794.25705211,105.721236753543
6870,61055,1597407.62243897,105.014108518151
6870,61056,1564374.19515042,107.288444215761
6870,61057,1585430.30544844,105.354450928729
6870,61059,1573989.11088203,108.136291311696
6870,61060,1600178.49738487,105.571153460664
6870,61062,1543950.64836541,109.087836422159
6870,61064,1525315.60566282,104.327736121976
6870,61065,1504836.56184429,103.835031971527
6870,61067,1584422.57523332,102.716247983096
6870,61068,1618922.73780684,102.071316378123
6870,61069,1673233.98261256,100.791831514327
6870,61070,1726239.01067066,100.324564013968
6870,61072,1698633.04762473,98.7571678905215
6870,61073,1776704.4534388,97.4328591908531
6870,61075,1721907.66251597,99.2111415965868
6870,61076,1739503.31828781,98.2411716885743
6870,61077,1763843.08170558,97.4970162458684
6870,61080,1776740.06643992,100.114807805341
6870,61084,1821966.27501422,95.7520197329444
6870,61085,1828054.9573477,97.224221101467
6870,61089,1924765.80791764,97.2286057339186
6870,61090,1916870.40350437,97.3342186370644
6870,61091,1917966.20234967,97.9776240872227
6870,61092,1875013.00844783,96.4154840258702
6870,61093,1874098.18347658,96.7171078897089
6870,61097,1742488.04120066,94.9686128213239
6870,61098,1764700.57820864,95.8784992168928
6870,61100,1807694.12823593,94.1664132529393
6870,61102,1763334.21264046,94.3040366757837
6870,61110,1653560.08118044,103.982327024853
6870,61111,1597245.41740801,107.492274686124
6870,61113,1706267.95147557,96.6024523418393
6870,61121,1857317.89229915,102.572419894093
6870,61199,1780801.98949585,94.1382834828724
6870,61207,1992548.12787691,103.168460663911
6870,61301,1786510.17775934,95.6008261639512
