"ID","COUNT","Red","Green","Blue","Opacity","X2006.Color_Red","X2006.Color_Green","X2006.Color_Blue","X2011.Color_Red","X2011.Color_Green","X2011.Color_Blue","Change.Color_Red","Change.Color_Green","Change.Color_Blue","X2006.Code","X2011.Code","X2006.2011.Code","X2006.Class","X2011.Class","X2006.2011.Class"
102,0,112,163,186,255,0.929411764705882,0,0,0.43921568627451,0.63921568627451,0.729411764705882,0.43921568627451,0.63921568627451,0.729411764705882,23,95,2395,"Developed, Medium Intensity","Emergent Herbaceous Wetlands","Developed, Medium Intensity to Emergent Herbaceous Wetlands"
103,0,0,249,0,255,0.709803921568627,0,0,0,0.976470588235294,0,0,0.976470588235294,0,24,1,241,"Developed, High Intensity","Unclassified","Developed, High Intensity to Unclassified"
104,0,71,107,160,255,0.709803921568627,0,0,0.27843137254902,0.419607843137255,0.627450980392157,0.27843137254902,0.419607843137255,0.627450980392157,24,11,2411,"Developed, High Intensity","Open Water","Developed, High Intensity to Open Water"
105,0,209,221,249,255,0.709803921568627,0,0,0.819607843137255,0.866666666666667,0.976470588235294,0.819607843137255,0.866666666666667,0.976470588235294,24,12,2412,"Developed, High Intensity","Perennial Ice/Snow","Developed, High Intensity to Perennial Ice/Snow"
106,0,221,201,201,255,0.709803921568627,0,0,0.866666666666667,0.788235294117647,0.788235294117647,0.866666666666667,0.788235294117647,0.788235294117647,24,21,2421,"Developed, High Intensity","Developed, Open Space","Developed, High Intensity to Developed, Open Space"
107,0,216,147,130,255,0.709803921568627,0,0,0.847058823529412,0.576470588235294,0.509803921568627,0.847058823529412,0.576470588235294,0.509803921568627,24,22,2422,"Developed, High Intensity","Developed, Low Intensity","Developed, High Intensity to Developed, Low Intensity"
108,0,237,0,0,255,0.709803921568627,0,0,0.929411764705882,0,0,0.929411764705882,0,0,24,23,2423,"Developed, High Intensity","Developed, Medium Intensity","Developed, High Intensity to Developed, Medium Intensity"
109,19812608,0,0,0,255,0.709803921568627,0,0,0.666666666666667,0,0,0,0,0,24,24,2424,"Developed, High Intensity","Developed, High Intensity","Developed, High Intensity to Developed, High Intensity"
110,0,178,173,163,255,0.709803921568627,0,0,0.698039215686274,0.67843137254902,0.63921568627451,0.698039215686274,0.67843137254902,0.63921568627451,24,31,2431,"Developed, High Intensity","Barren Land","Developed, High Intensity to Barren Land"
111,0,104,170,99,255,0.709803921568627,0,0,0.407843137254902,0.666666666666667,0.388235294117647,0.407843137254902,0.666666666666667,0.388235294117647,24,41,2441,"Developed, High Intensity","Deciduous Forest","Developed, High Intensity to Deciduous Forest"
